match_id,season,venue,innings,batting_team,bowling_team,toss_winner,toss_decision,match_winner,powerplay_runs,powerplay_wickets,powerplay_run_rate,powerplay_sixes,powerplay_fours,powerplay_dot_balls,powerplay_extras,final_total,total_wickets,total_sixes,total_fours,total_balls
959215,2015/16,Dubai International Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,32,3,5.33,0,4,24,7,132,9,1,16,126
959217,2015/16,Dubai International Cricket Stadium,1,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,29,3,4.83,1,4,24,4,111,9,2,7,121
959217,2015/16,Dubai International Cricket Stadium,2,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,38,1,6.33,1,6,22,1,115,1,4,13,87
959219,2015/16,Dubai International Cricket Stadium,1,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,36,0,6.0,0,5,20,7,176,3,8,15,124
959219,2015/16,Dubai International Cricket Stadium,2,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Islamabad United,34,1,5.67,0,5,21,4,126,10,6,10,110
959221,2015/16,Dubai International Cricket Stadium,1,Quetta Gladiators,Islamabad United,Islamabad United,field,Islamabad United,36,2,6.0,1,2,15,0,174,7,7,17,120
959221,2015/16,Dubai International Cricket Stadium,2,Islamabad United,Quetta Gladiators,Islamabad United,field,Islamabad United,55,1,9.17,3,6,14,3,175,4,11,13,112
1075986,2016/17,Dubai International Cricket Stadium,1,Peshawar Zalmi,Islamabad United,Islamabad United,field,Islamabad United,52,1,8.67,2,5,15,7,190,9,11,12,124
1075986,2016/17,Dubai International Cricket Stadium,2,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,43,1,7.17,0,7,17,2,175,3,6,19,113
1075987,2016/17,Dubai International Cricket Stadium,1,Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,field,Quetta Gladiators,26,2,4.33,0,2,19,3,136,9,3,9,124
1075987,2016/17,Dubai International Cricket Stadium,2,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,57,3,9.5,2,8,14,0,128,10,5,10,113
1075988,2016/17,Dubai International Cricket Stadium,1,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,28,4,4.67,0,3,21,0,118,7,3,8,121
1075988,2016/17,Dubai International Cricket Stadium,2,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,field,Peshawar Zalmi,41,2,6.83,0,8,21,2,119,3,3,12,113
1075989,2016/17,Dubai International Cricket Stadium,1,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,48,0,8.0,0,7,15,5,158,7,6,12,123
1075989,2016/17,Dubai International Cricket Stadium,2,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Lahore Qalandars,50,2,8.33,1,6,17,4,160,4,6,16,115
1075990,2016/17,Dubai International Cricket Stadium,1,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,37,2,6.17,1,3,17,2,159,8,5,14,121
1075990,2016/17,Dubai International Cricket Stadium,2,Quetta Gladiators,Karachi Kings,Quetta Gladiators,field,Quetta Gladiators,39,3,6.5,2,4,21,2,160,3,5,14,119
1075991,2016/17,Dubai International Cricket Stadium,1,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,47,4,7.83,1,7,22,1,59,10,1,8,64
1075991,2016/17,Dubai International Cricket Stadium,2,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,field,Peshawar Zalmi,20,2,3.33,0,2,25,1,60,7,1,4,108
1075992,2016/17,Sharjah Cricket Stadium,1,Quetta Gladiators,Islamabad United,Islamabad United,field,Islamabad United,44,2,7.33,1,5,15,0,148,6,4,11,122
1075992,2016/17,Sharjah Cricket Stadium,2,Islamabad United,Quetta Gladiators,Islamabad United,field,Islamabad United,40,1,6.67,0,6,16,3,149,5,5,16,117
1075993,2016/17,Sharjah Cricket Stadium,1,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,62,2,10.33,3,6,11,0,179,8,6,15,124
1075993,2016/17,Sharjah Cricket Stadium,2,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,45,2,7.5,0,6,15,2,172,8,5,14,128
1075994,2016/17,Sharjah Cricket Stadium,1,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,No result,41,1,6.83,0,5,18,5,117,3,5,8,98
1075995,2016/17,Sharjah Cricket Stadium,1,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,32,2,5.33,2,1,19,1,90,8,6,4,82
1075995,2016/17,Sharjah Cricket Stadium,2,Karachi Kings,Islamabad United,Karachi Kings,field,Karachi Kings,50,3,8.33,2,4,12,4,75,4,2,5,60
1075996,2016/17,Sharjah Cricket Stadium,1,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,75,0,12.5,3,10,9,3,200,3,12,15,121
1075996,2016/17,Sharjah Cricket Stadium,2,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Quetta Gladiators,51,2,8.5,1,6,11,2,202,5,14,12,115
